"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"LED7","0805-R","16.612mm","2.286mm","16.619mm","2.286mm","17.619mm","2.286mm","T","180","ÌùÆ¬LED"
"LED6","0805-R","16.561mm","13.31mm","16.583mm","13.32mm","17.583mm","13.32mm","T","180","ÌùÆ¬LED"
"R22","0805-R","20.828mm","13.36mm","20.828mm","13.36mm","21.828mm","13.36mm","T","180","1K 5%"
"R23","0805-R","21.031mm","2.286mm","21.028mm","2.286mm","22.028mm","2.286mm","T","180","1K 5%"
"C5","0805-R","33.223mm","13.208mm","33.22mm","13.208mm","34.22mm","13.208mm","T","180","104 50V 10%"
"R4","0805-R","37.135mm","13.208mm","37.157mm","13.208mm","38.157mm","13.208mm","T","180","150 5%"
"R24","0805-R","31.801mm","10.312mm","31.804mm","10.3mm","31.804mm","11.3mm","T","270","10K 5%"
"R25","0805-R","31.75mm","6.604mm","31.75mm","6.604mm","31.75mm","7.604mm","T","270","10K 5%"
"C12","0805-R","31.75mm","2.921mm","31.75mm","2.921mm","31.75mm","3.921mm","T","270","104 50V 10%"
"U4","sop8","26.645mm","11.659mm","26.644mm","11.655mm","24.236mm","13.56mm","T","360","LM393"
