Altium Designer Pick and Place Locations
G:\µÈ¼¶¿¼ÊÔÍø¿Î\Æ÷²Ä¿ª·¢\02-esp32ÐÂ°æ\1Ö÷°å\Pick Place for 56PCB -1.csv

========================================================================================================================
File Design Information:

Date:       02-09-24
Time:       09:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C25","10nf","TopLayer","COMPONENT_13","2188.931","1360.886","270",""
"R15","47K","TopLayer","COMPONENT_10","2553.932","1188.886","90",""
"C12","104","TopLayer","COMPONENT_13","2178.932","1053.886","0",""
"C101","10UF","TopLayer","C_0805_L","2192.935","1497.889","180",""
"U7","DRV8833","TopLayer","TSSOP16_L","2386.932","1341.886","180",""
"U6","CH340C","TopLayer","SOP16_N","2093.932","802.885","0",""
"P8","NC","TopLayer","COMPONENT_26","2726.042","1761.625","90",""
"P7","NC","TopLayer","COMPONENT_26","2726.042","187.625","90",""
"P2","NC","TopLayer","COMPONENT_26","207.042","1761.625","90",""
"P1","NC","TopLayer","COMPONENT_26","207.042","190.625","90",""
"CON2","°²×¿Î²²åÅ£½Ç5ÕëUSB²å×ù","TopLayer","COMPONENT_25","2749.292","969.625","90",""
"CON1","XH2.54MM*2PÖ±Õë²å×ù","TopLayer","COMPONENT_24","2361.042","1743.625","90",""
"FS1","FS","TopLayer","COMPONENT_23","2510.042","907.625","90",""
"D6","NC","TopLayer","COMPONENT_22","2498.042","794.625","0",""
"D2","S4","TopLayer","COMPONENT_21","2389.042","1549.625","0",""
"D3","S4","TopLayer","COMPONENT_21","2391.042","1495.625","0",""
"D5","S4","TopLayer","COMPONENT_21","2440.042","904.625","90",""
"Q4","Y1","TopLayer","COMPONENT_20","2309.932","1074.386","180",""
"Q3","Y1","TopLayer","COMPONENT_20","2415.542","723.625","90",""
"K3","3*4*2MM°´¼ü°´Å¥ 2½Å","TopLayer","COMPONENT_19","2753.042","1254.625","90",""
"K2","3*4*2MM°´¼ü°´Å¥ 2½Å","TopLayer","COMPONENT_19","2753.042","694.625","90",""
"K1","ÌùÆ¬²¦Âë¿ª¹Ø£¨4Î»£¬1.25mm½Å¼ä¾à£©","TopLayer","COMPONENT_18","1876.042","1351.625","90",""
"C3","100UF/10V","TopLayer","COMPONENT_17","1467.292","1170.625","180",""
"C7","100UF/10V","TopLayer","COMPONENT_17","1649.042","700.375","90",""
"U3","AMS1117-3.3V","TopLayer","COMPONENT_14","1474.042","920.875","90",""
"C14","104","TopLayer","COMPONENT_13","2517.042","1528.625","90",""
"C15","104","TopLayer","COMPONENT_13","2174.932","1120.886","180",""
"C16","104","TopLayer","COMPONENT_13","2532.042","719.625","90",""
"C10","104","TopLayer","COMPONENT_13","1881.931","796.885","90",""
"C6","104","TopLayer","COMPONENT_13","1556.042","700.625","90",""
"C2","104","TopLayer","COMPONENT_13","271.042","379.625","90",""
"C1","104","TopLayer","COMPONENT_13","159.042","380.625","90",""
"LED6","LEDÀ¶","TopLayer","COMPONENT_11","2206.000","1729.000","360",""
"LED5","LEDÀ¶","TopLayer","COMPONENT_11","1765.042","1093.625","0",""
"LED4","LEDÀ¶","TopLayer","COMPONENT_11","1765.042","940.625","0",""
