"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"RP2","COMPONENT_7","22.479mm","33.274mm","22.482mm","33.299mm","21.237mm","34.15mm","T","0","220R"
"RP1","COMPONENT_7","18.288mm","33.325mm","18.291mm","33.325mm","17.046mm","34.176mm","T","0","220R"
"D1","COMPONENT_6","7.849mm","15.621mm","7.849mm","15.621mm","8.966mm","15.608mm","T","180","S4"
"G2","COMPONENT_5","26.848mm","4.42mm","26.851mm","4.42mm","26.851mm","3.543mm","T","180","104"
"G1","COMPONENT_5","14.986mm","43.434mm","14.989mm","43.434mm","14.989mm","42.558mm","T","180","104"
"U1","COMPONENT_4","20.676mm","7.62mm","20.678mm","7.62mm","25.123mm","10.198mm","T","180","74HC595D"
"U2","COMPONENT_4","21.26mm","39.675mm","21.263mm","39.7mm","16.818mm","37.122mm","T","0","74HC595D"
"P6","COMPONENT_3","30.074mm","24.943mm","30.076mm","24.943mm","30.064mm","31.305mm","T","0","6PÔ²¿×ÅÅÄ¸DS18B20"
"P4","COMPONENT_3","14.783mm","24.943mm","14.76mm","24.943mm","14.748mm","31.305mm","T","0","6PÔ²¿×ÅÅÄ¸DS18B20"
"P5","COMPONENT_2","27.229mm","25.044mm","27.232mm","25.044mm","27.206mm","33.934mm","T","0","8PÔ²¿×ÅÅÄ¸DS18B20"
"P3","COMPONENT_2","12.217mm","25.044mm","12.22mm","25.044mm","12.195mm","33.934mm","T","0","8PÔ²¿×ÅÅÄ¸DS18B20"
"J1","COMPONENT_1","7.112mm","25.222mm","7.115mm","25.222mm","7.102mm","20.142mm","T","0","2.54ÅÅÕë5PºÚÉ«"
