Altium Designer Pick and Place Locations
G:\等级考试网课\器材开发\04蓝桥杯\蓝桥1.4\Pick Place for 蓝桥1.41.csv

========================================================================================================================
File Design Information:

Date:       17-10-24
Time:       11:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"CR","104","TopLayer","C_0805_L","857.280","2274.603","0","无极性贴片电容"
"Y1","CSTCE8M00G55-R0","TopLayer","MURA-CSTCE_G_A-3_V","3198.819","1391.732","0","Ceramic Resonator, 8 MHz, +/- 0.5%, 30/33/39 pF, -20 to 80 degC, 3-Pin SMD, RoHS, Tape and Reel"
"C12","104","TopLayer","C_0805_L","1389.767","2411.414","90","无极性贴片电容"
"LED10","31","TopLayer","LUMX-SML-LXT0805_V","574.803","2498.032","0","LED, RED, 635 nm, 2 V, -25 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel"
"LED9","38","TopLayer","LUMX-SML-LXT0805_V","6297.244","4090.551","0","LED, RED, 635 nm, 2 V, -25 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel"
"摇杆 XA5 XA6 Z39","RKJXK122400Y","TopLayer","FP-RKJXK122400Y-MFG","620.079","1456.693","90","Res POT 10K Ohm 0.0125W (25.4 X 20.7 X 19.3mm) Pin Bracket Mount/Through Hole Tray"
"U6","LM386M-1","TopLayer","D0008A_M","1040.354","3021.653","0","Low Voltage Audio Power Amplifier, 8-pin Narrow SOIC"
"RP2","10K","TopLayer","3303W","952.756","2789.370","0","贴片电位器"
"E1","10uF/6.3V","TopLayer","CD_A(3216)","1395.669","3202.756","0","贴片钽电容"
"DZ1","1N4625","TopLayer","MINI_MELF_(LL34)","1318.898","3011.811","270","5.1V/0.5W稳压管"
"C24","104","TopLayer","C_0805_L","1184.052","2870.075","0","无极性贴片电容"
"C23","104","TopLayer","C_0805_L","815.968","3005.902","0","无极性贴片电容"
"C22","10UF","TopLayer","C_0805_L","1045.279","3190.948","180","无极性贴片电容"
"C9","104","TopLayer","C_0805_L","3801.184","2121.060","90","无极性贴片电容"
"RN3","10K","TopLayer","R_0805_L","3475.390","1595.469","0","贴片电阻"
"S6 19","12x12x5","TopLayer","TSW_DIP-12*12*4.3","5750.000","432.087","270","直插12x12轻触开关"
"M4","3MM螺柱","TopLayer","3MM螺柱","6789.764","4978.740","0",""
"M3","3MM螺柱","TopLayer","3MM螺柱","100.000","4978.740","0",""
"M2","3MM螺柱","TopLayer","3MM螺柱","100.000","100.000","0",""
"M1","3MM螺柱","TopLayer","3MM螺柱","6789.764","100.000","0",""
"声音   A3","MIC","TopLayer","MIC","1256.890","3413.386","270",""
"串口0","HDR-1X4","TopLayer","XH2.54-WI-4P","6338.583","4803.150","180","4P接插件"
"串口1","HDR-1X4","TopLayer","XH2.54-WI-4P","5767.717","4803.150","180","4P接插件"
"串口2","HDR-1X4","TopLayer","XH2.54-WI-4P","5196.850","4803.150","180","4P接插件"
"串口3","HDR-1X4","TopLayer","XH2.54-WI-4P","4625.984","4803.150","180","4P接插件"
"继电器49","HDR-1X3","TopLayer","XH2.54-WI-3P","4094.488","4799.528","180","3P接插件"
"超声波","HDR-1X4","TopLayer","XH2.54-WI-4P","3570.866","4803.150","180","4P接插件"
"步进电机","HDR-1X5","TopLayer","XH2.54-WI-5P","2955.905","4803.150","180","5P接插件"
"舵机 44","HDR-1X3","TopLayer","XH2.54-WI-3P","2381.890","4799.528","180","3P接插件"
"JP5","HDR-1X4","TopLayer","XH2.54-WI-4P","1862.598","4803.150","180","4P接插件"
"JP4","HDR-1X4","TopLayer","XH2.54-WI-4P","1291.339","4803.150","180","4P接插件"
"JP3","HDR-1X6","TopLayer","XH2.54-WI-6P","624.016","4803.150","180","6P接插件"
"JP2","Header 4X2","TopLayer","HDR2.54-LI-2X4P","147.638","3901.575","270","4*2P接插件"
"JP1","Header 4X2","TopLayer","HDR2.54-LI-2X4P","147.638","4330.709","270","4*2P接插件"
"触摸屏","触摸屏","TopLayer","触摸屏","3405.512","1746.063","0",""
"温湿度 42","DHT11","TopLayer","DHT11","807.087","3385.827","90",""
"全彩LED 红5 绿6 蓝7","RGBLED","TopLayer","RGB10MM","791.339","4074.803","90",""
"RN4","10K","TopLayer","R_0805_L","3474.406","1672.241","0","贴片电阻"
"R14","10K","TopLayer","R_0805_L","3803.150","1463.583","180","贴片电阻"
"R7","1K","TopLayer","R_0805_L","1024.603","3725.390","0","贴片电阻"
"R6","1K","TopLayer","R_0805_L","916.335","4407.477","0","贴片电阻"
"R5","1K","TopLayer","R_0805_L","732.280","4404.524","0","贴片电阻"
"R24","10K","TopLayer","R_0805_L","687.989","2933.068","0","贴片电阻"
"R2","1K","TopLayer","R_0805_L","686.027","2849.413","180","贴片电阻"
"R1","1M","TopLayer","R_0805_L","3201.769","1475.390","0","贴片电阻"
"LED8","38","TopLayer","LUMX-SML-LXT0805_V","4271.654","314.961","90","LED, RED, 635 nm, 2 V, -25 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel"
"LED7","37","TopLayer","LUMX-SML-LXT0805_V","4010.124","314.961","90","LED, RED, 635 nm, 2 V, -25 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel"
"LED6","36","TopLayer","LUMX-SML-LXT0805_V","3748.594","314.961","90","LED, RED, 635 nm, 2 V, -25 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel"
"LED5","35","TopLayer","LUMX-SML-LXT0805_V","3487.064","314.961","90","LED, RED, 635 nm, 2 V, -25 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel"
"LED4","34","TopLayer","LUMX-SML-LXT0805_V","3225.534","314.961","90","LED, RED, 635 nm, 2 V, -25 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel"
"LED3","33","TopLayer","LUMX-SML-LXT0805_V","2964.005","314.961","90","LED, RED, 635 nm, 2 V, -25 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel"
"LED2","32","TopLayer","LUMX-SML-LXT0805_V","2702.475","314.961","90","LED, RED, 635 nm, 2 V, -25 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel"
"LED1","31","TopLayer","LUMX-SML-LXT0805_V","2440.945","314.961","90","LED, RED, 635 nm, 2 V, -25 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel"
"D1","","TopLayer","MINI_MELF_(LL34)","4121.063","2507.874","90","高速开关二极管"
"CA1","47uF/25V","TopLayer","CM_D(6.3*5.4)","440.945","4327.756","90","贴片电解电容"
"C20","104","TopLayer","C_0805_L","3978.343","2544.288","0","无极性贴片电容"
"C17","104","TopLayer","C_0805_L","3715.545","1373.025","0","无极性贴片电容"
"C15","104","TopLayer","C_0805_L","1176.181","2750.984","180","无极性贴片电容"
"C14","104","TopLayer","C_0805_L","841.532","2553.153","270","无极性贴片电容"
"C10","104","TopLayer","C_0805_L","3497.050","2568.901","180","无极性贴片电容"
"C8","104","TopLayer","C_0805_L","2823.816","2186.027","270","无极性贴片电容"
"C7","104","TopLayer","C_0805_L","3025.594","1665.358","180","无极性贴片电容"
"C6","104","TopLayer","C_0805_L","3108.265","2568.894","0","无极性贴片电容"
"R17","10K","TopLayer","R_0805_L","3901.568","2954.718","0","贴片电阻"
"R16","10K","TopLayer","R_0805_L","3762.792","2796.263","270","贴片电阻"
"USB","USB4105-GF-A","TopLayer","FP-USB4105-GF-A-MFG","224.902","2688.976","270","CONN RCPT USB2.0 TYPEC 5A"
"RN6","1K","TopLayer","R_0805_L","1347.438","2724.406","0","贴片电阻"
"RN5","1K","TopLayer","R_0805_L","919.294","2554.131","90","贴片电阻"
"RN1","1K","TopLayer","R_0805_L","571.854","2613.192","180","贴片电阻"
"R4","10K","TopLayer","R_0805_L","998.028","3319.879","0","贴片电阻"
"PC1","10UF","TopLayer","C_0805_L","1363.192","2827.759","180","无极性贴片电容"
"蜂鸣器  3","DC5V","TopLayer","BEEP_6.5x12x6","1305.118","4051.181","0","蜂鸣器"
"IC2","CH340C","TopLayer","SOP16_L","1157.480","2421.260","0","串口转USB"
"F1","MSMD200-8V 2A","TopLayer","FU_1812","596.457","2324.803","180","贴片保险丝"
"C16","104（NC）","TopLayer","C_0805_L","815.968","3072.838","180","无极性贴片电容"
"C3","104","TopLayer","C_0805_L","815.968","2933.474","180","无极性贴片电容"
"C2","10UF","TopLayer","C_0805_L","562.011","2028.546","180","无极性贴片电容"
"C11","104","TopLayer","C_0805_L","522.641","2135.824","90","无极性贴片电容"
"RP1","10K","TopLayer","3303W","1393.701","4452.756","270","贴片电位器"
"R8","10K","TopLayer","R_0805_L","1499.997","4613.186","0","贴片电阻"
"触摸按键  29","touch","TopLayer","TOUCH","6514.764","426.181","45",""
"RR","10K","TopLayer","R_0805_L","1123.035","2133.861","180","贴片电阻"
"REST","3x6x5","TopLayer","TSW_SMD-3*6*2.5","841.708","2102.755","180","3x6轻触开关"
"R22","10K","TopLayer","R_0805_L","1534.452","294.288","90","贴片电阻"
"R21","10K","TopLayer","R_0805_L","1544.288","1236.217","0","贴片电阻"
"R20","1K","TopLayer","R_0805_L","1543.310","1151.578","180","贴片电阻"
"R18","1K","TopLayer","R_0805_L","1561.020","690.942","0","贴片电阻"
"R13","10K","TopLayer","R_0805_L","178.146","845.469","0","贴片电阻"
"R12","10K","TopLayer","R_0805_L","344.794","845.469","0","贴片电阻"
"R11","10K","TopLayer","R_0805_L","511.448","845.469","180","贴片电阻"
"R10","10K","TopLayer","R_0805_L","678.095","845.476","180","贴片电阻"
"Q1","SS8050","TopLayer","SOT23-3N","2391.732","4330.709","0","高频放大-NPN型"
"IC3","AMS1117-3V3","TopLayer","SOT89_N","1314.961","2012.079","0","三端稳压芯片"
"C18","104","TopLayer","C_0805_L","830.712","845.476","180","无极性贴片电容"
"C13","104","TopLayer","C_0805_L","1356.302","1861.224","180","无极性贴片电容"
"人体红外  11","BM412","TopLayer","BM412","5187.992","3398.622","315",""
"U3","TTP223B","TopLayer","SOT23-6","6157.323","632.598","90",""
"U1","PCF8574T","TopLayer","FP-SOT162-1-MFG","2731.299","4044.291","270","IC I/O EXPANDER I2C 8B 16SOIC"
"TM1","TM1650","TopLayer","SOP16","4548.228","4128.437","270",""
"RFID SPI 28","HDR-1X8","TopLayer","XH2.54-WI-8P","6653.543","3661.417","90","8P接插件"
"R23","10K","TopLayer","R_0805_L","5375.003","223.422","90","贴片电阻"
"R19","1K","TopLayer","R_0805_L","5880.909","811.027","180","贴片电阻"
"R15","1K","TopLayer","R_0805_L","6282.477","3894.682","0","贴片电阻"
"R9","1K","TopLayer","R_0805_L","6635.824","2686.020","0","贴片电阻"
"ICSP","Header3X2","TopLayer","HDR2.54-LI-2X3P","6704.724","4430.315","270","3*2P接插件"
"C21","104","TopLayer","C_0805_L","5196.854","3697.838","180","无极性贴片电容"
"C19","1-50PF","TopLayer","C_0805_L","6152.562","486.224","180","无极性贴片电容"
"红外接收 18","VS1838B","TopLayer","VS1838B-B","6594.488","2972.441","90","红外接收头"
"红外发射  9","","TopLayer","I-LED-5MM","6633.858","2479.331","90","红外二极管"
"5","103","TopLayer","RCA-8P4R-0603","5115.157","1918.307","0","贴片网络排阻"
"3","102","TopLayer","RCA-8P4R-0603","3894.685","683.071","0","贴片网络排阻"
"2","102","TopLayer","RCA-8P4R-0603","6139.764","2083.661","270","贴片网络排阻"
"1","102","TopLayer","RCA-8P4R-0603","2835.827","683.071","0","贴片网络排阻"
"U0","atmega2560","TopLayer","LQFP100_14x14_M","3346.677","2125.984","270",""
"Y3","32.768kHz","TopLayer","OSC-3x8-WI-A","4313.976","2658.465","0","2脚无源脚晶振"
"数码管  I2C  0X27","3641A","TopLayer","SMG_0.36-4P","5439.370","4130.709","0","0.36寸4位共阴数码管"
"旋钮变阻器  A2","3386P-1-105TLF","TopLayer","FP-3386P-MFG","5836.024","3442.716","180","TRIMMER 1M OHM 0.5W PC PIN TOP"
"U4","ADXL345BCCZ-RL7","TopLayer","ADI-CC-14-1_V","3725.394","1645.669","90","3-Axis, +/-2 g / +/-4 g / +/-8 g / +/-16 g Digital Accelerometer with Digital Output, 1.6 KHz BW, Industrial, 14-pin LGA, Reel"
"U5","DS1307Z+T&R","TopLayer","S8+2_L","4031.496","2748.032","180","64 x 8, Serial, I2C Real-Time Clock, 5.0V, 8-Pin SO, 0 to 70 degC, Pb-Free, Reel"
"S2 23","12x12x5","TopLayer","TSW_DIP-12*12*4.3","6614.173","1899.606","90","直插12x12轻触开关"
"S3 24","12x12x5","TopLayer","TSW_DIP-12*12*4.3","5767.717","1899.606","90","直插12x12轻触开关"
"S1 22","12x12x5","TopLayer","TSW_DIP-12*12*4.3","6212.598","2529.528","90","直插12x12轻触开关"
"S5 26","12x12x5","TopLayer","TSW_DIP-12*12*4.3","1141.732","413.386","270","直插12x12轻触开关"
"电源开关","KET 7X7","TopLayer","KFT_DIP-7X7","236.220","2185.039","90","7*7自锁开关"
"S4 25","12x12x5","TopLayer","TSW_DIP-12*12*4.3","6212.598","1309.055","270","直插12x12轻触开关"
